Year,Quarter,Unemployment_Rate,Inflation_CPI,GDP_Growth,Repo_Rate
2015,Q1,26.4,4.0,2.1,5.75
2015,Q2,25.0,4.7,1.2,5.75
2015,Q3,25.5,4.6,0.7,6.00
2015,Q4,24.5,5.2,0.6,6.25
2016,Q1,26.7,6.3,-0.2,6.75
2016,Q2,27.1,6.1,3.3,7.00
2016,Q3,27.1,6.1,0.9,7.00
2016,Q4,26.5,6.8,0.3,7.00
2017,Q1,27.7,6.1,1.0,7.00
2017,Q2,27.7,5.1,2.8,6.75
2017,Q3,27.7,4.8,2.0,6.75
2017,Q4,26.7,4.6,1.9,6.75
2018,Q1,26.7,3.8,2.7,6.50
2018,Q2,27.2,4.6,0.5,6.50
2018,Q3,27.5,4.9,-0.7,6.75
2018,Q4,27.1,5.2,1.4,6.75
2019,Q1,27.6,4.5,3.1,6.75
2019,Q2,29.0,4.5,-0.6,6.50
2019,Q3,29.1,4.1,0.1,6.50
2019,Q4,29.1,3.7,-1.4,6.50
2020,Q1,30.1,4.1,-2.0,5.25
2020,Q2,23.3,2.2,-16.4,3.75
2020,Q3,30.8,3.1,13.6,3.50
2020,Q4,32.5,3.2,1.7,3.50
2021,Q1,32.4,3.2,1.1,3.50
2021,Q2,34.4,4.9,1.2,3.50
2021,Q3,34.9,4.9,2.9,3.50
2021,Q4,35.3,5.5,1.7,3.75
2022,Q1,34.5,5.9,3.0,4.25
2022,Q2,33.9,7.4,0.2,5.50
2022,Q3,32.9,7.5,1.6,6.25
2022,Q4,32.7,7.2,1.3,7.00
2023,Q1,32.9,6.9,-0.7,7.75
2023,Q2,33.5,5.4,0.6,8.25
2023,Q3,31.9,4.8,0.3,8.25
2023,Q4,32.1,5.5,0.1,8.25
2024,Q1,32.9,5.6,0.5,8.25
2024,Q2,33.5,5.1,0.4,8.25
2024,Q3,32.1,3.8,0.3,8.00
2024,Q4,31.8,3.0,0.6,7.75
